S.NO,TYPE,DATE,ACCOUNT,DESCRIPTION,DEBIT,CREDIT
"[0.0, 6377.33]"
14348,MT,01-02-2017,0373K - PT PURCHASING SERVICE,MT 01/02/17 - BN:4 - 2017-02-1,-493.71,""
14405,MT,02-02-2017,0373K - PT PURCHASING SERVICE,MT 02/02/17 - BN:314 - 2017-02-2,-458.52,""
14474,MT,03-02-2017,0373K - PT PURCHASING SERVICE,MT 03/02/17 - BN:563 - 2017-02-3,-232.36,""
14693,MT,07-02-2017,0373K - PT PURCHASING SERVICE,MT 07/02/17 - BN:1552 - 2017-02-7,-581.68,""
14693,MT,07-02-2017,0373K - PT PURCHASING SERVICE,MT 07/02/17 - BN:1561 - 2017-02-7,-785.86,""
15120,MT,14-02-2017,0373K - PT PURCHASING SERVICE,MT 14/02/17 - BN:3230 - 2017-02-14,-1371.24,""
15383,MT,18-02-2017,0373K - PT PURCHASING SERVICE,MT 18/02/17 - BN:4275 - 2017-02-18,-821.90,""
15576,MT,22-02-2017,0373K - PT PURCHASING SERVICE,MT 22/02/17 - BN:5163 - 2017-02-22,-922.21,""
15832,MT,27-02-2017,0373K - PT PURCHASING SERVICE,MT 27/02/17 - BN:6276 - 2017-02-27,-1612.36,""
"[-7279.84, 0.0]"
"[-902.51, 0.0]"
